名称,描述,房源好评率,近期预定量,房源类型,户型,出租类型,床型,床数,可住人数,独卫数量,面积,发票,地址,省份,城区,配套设施,周边设施,乘车路线,房源评论数,房客评价,价格,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分
市中心整套loft复式高清投影电动麻将桌豪华三居室,"
                位于市中心，附近商圈齐全，近医院、银行、商场、车站、火车站
交通便利，设施齐全位于市中心，附近商圈齐全，近医院、银行、商场、车站、火车站
            ",100%,36 晚,小区住宅,3室2厅,整租,"双人床
双人床",3张,6人,2,150平米,提供,沧州-任丘市-裕华西路与会战北道处西北角-新悦城,沧州,任丘市,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '有窗户', '茶几', '洗浴用品', '牙具', '香皂', '洗涤用品', '电磁炉', '麻将机', '投影设备', '音响设备', '灭火器']",位于市中心，附近商圈齐全，近医院、银行、商场、车站、火车站，自助入住,,0,,408,,100.0%,100.0%,80.0%,6,5.0
市中心，近商圈、商场附近loft民宿投影〔超大床〕舒适一居室,"
                位于商场、医院、车站、火车站附近，处于市中心地带，地势繁华，交通便利！装修豪华，商场、医院、车站、火车站附近，处于市中心地带，地势繁华，交通便利！
            ",100%,36 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,100平米,提供,沧州-任丘市-裕华西路与会战北道处西北角-新悦城,沧州,任丘市,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '泳池', '有窗户', '落地窗', '茶几', '洗浴用品', '牙具', '香皂', '洗涤用品', '电磁炉', '微波炉', '投影设备', '灭火器']",商场、医院、车站、火车站附近，处于市中心地带，地势繁华，交通便利！,,0,,218,,100.0%,100.0%,80.0%,6,5.0
金都庄园民宿2居室，接近市医院，黄骅中学，信誉楼，耀华商场，交通大学，海滨学院，宽敞明亮，装修靓丽！,"
                 1
            ",100%,22 晚,普通公寓,2室1厅,整租,"双人床
双人床",2张,4人,1,90平米,提供,沧州-黄骅市-顺意步行西街-金都庄园,沧州,黄骅市,"['无线WIFI', '电视', '淋浴', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '保安', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待外宾', '被子', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '洗涤用品', '燃气灶', '电饭煲']",,,0,,242,,100.0%,100.0%,100.0%,4,5.0
金都雅居2室1厅，接近市医院，黄骅中学，信誉楼，耀华商场，交通大学，海滨学院，宽敞明亮，装修靓丽！,"
                 1
            ",100%,16 晚,普通公寓,2室1厅,整租,"双人床
双人床",2张,4人,1,90平米,提供,沧州-黄骅市-新华路-金都雅居,沧州,黄骅市,"['无线WIFI', '电视', '淋浴', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待老人60岁以上', '接待外宾', '被子', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '洗涤用品', '燃气灶', '电饭煲']",,,0,,253,,100.0%,100.0%,100.0%,4,5.0
老华北 建新大厦 信誉楼 南湖盐白 火车站 北欧轻奢风格 恒顺 大床,"
                北欧轻奢风格，干净整洁，环境怡人。备有舒适大床，衣柜，空调，洗衣机，WI-FI覆盖，免费影视观看，暖气开放，24小时热水，独立卫生间，拖鞋，毛巾，洗浴洗漱用品一应俱全，床品一客一换，可做饭，提供简单厨具（疫情原因调料请自备）地理位置优越，距火车站汽车站5分钟路程，楼下即老华北颐和商城信誉楼，小吃一条街，购物和饮食都非常便利。
            ",100%,22 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-恒顺世纪中心-恒顺世纪中心,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '有窗户', '落地窗', '沙发', '茶几', '净水机', '洗浴用品', '牙具', '香皂', '刀具菜板', '洗涤用品', '燃气灶', '电磁炉', '灭火器', '花园']",,,0,,168,,100.0%,100.0%,100.0%,1,5.0
任丘初遇民宿云夕与鹿,"
                任丘初遇民宿环境整洁温馨，服务专业热情，地理位置优越便利，房间设有24小时热水
            ",100%,16 晚,小区住宅,1室0厅,整租,双人床,1张,1人,1,55平米,提供,沧州-任丘市-会战道-京南互联网大厦,沧州,任丘市,"['无线WIFI', '电视', '淋浴', '暖气', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '电吹风', '智能门锁', '接待儿童2到12岁', '接待老人60岁以上', '被子', '有窗户', '洗浴用品', '牙具']",,,0,,230,,100.0%,70.0%,100.0%,5,4.94
任丘初遇民宿光点-投影,"
                任丘初遇民宿环境整洁温馨，服务专业热情，地理位置优越便利，房间设有24小时热水
            ",100%,16 晚,小区住宅,1室0厅,整租,双人床,1张,2人,1,50平米,提供,沧州-任丘市-新华路-京南互联网大厦,沧州,任丘市,"['无线WIFI', '电视', '淋浴', '暖气', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '被子', '有窗户', '洗浴用品', '牙具']",,,0,,129,,100.0%,70.0%,100.0%,5,4.94
任丘初遇民宿樱宿,"
                任丘初遇民宿环境整洁温馨，服务专业热情，地理位置优越便利，房间设有24小时热水
            ",100%,18 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,30平米,提供,沧州-任丘市-会战北道-京南互联网大厦,沧州,任丘市,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '毛巾', '拖鞋', '热水壶', '电梯', '电吹风', '智能门锁', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '被子', '有窗户', '洗浴用品', '牙具', '香皂']",,,0,,212,,100.0%,100.0%,100.0%,3,5.0
任丘初遇民宿苇浮房,"
                任丘初遇民宿环境整洁温馨，服务专业热情，地理位置优越便利，房间设有24小时热水
            ",100%,18 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,55平米,提供,沧州-任丘市-会战北道-京南互联网大厦,沧州,任丘市,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '毛巾', '拖鞋', '热水壶', '电梯', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '被子', '有窗户', '洗浴用品', '牙具', '香皂']",,,0,,181,,100.0%,100.0%,100.0%,3,5.0
任丘初遇民宿田野森林,"
                任丘初遇民宿环境整洁温馨，服务专业热情，地理位置优越便利，房间设有24小时热水
            ",100%,18 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,40平米,提供,沧州-任丘市-会战北道-京南互联网大厦,沧州,任丘市,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '毛巾', '拖鞋', '热水壶', '电梯', '电吹风', '智能门锁', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '被子', '有窗户', '洗浴用品', '牙具', '香皂']",,,0,,239,,100.0%,100.0%,100.0%,3,5.0
黄骅民宿2居室，接近黄骅市医院，黄骅中学，信誉楼，耀华商场，交通大学，海滨学院，,"
                金都雅居民宿2居室，接近市医院，黄骅中学，信誉楼，耀华商场，交通大学，海滨学院，
            ",100%,16 晚,普通公寓,2室1厅,整租,"双人床
双人床",2张,4人,1,90平米,提供,沧州-黄骅市-新华路-金都雅居,沧州,黄骅市,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '毛巾', '拖鞋', '热水壶', '保安', '餐具炊具', '电吹风', '智能门锁', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '接待外宾', '有窗户', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '洗涤用品', '燃气灶', '电饭煲', '微波炉']",,,0,,268,,100.0%,100.0%,100.0%,4,5.0
近高速休闲标间独卫,"
                近高速，经济，卫生，食宿方便，交通方便
            ",100%,22 晚,酒店式公寓,1室0厅,整租,单人床,2张,2人,1,25平米,提供,沧州-海兴县-海安路38号,沧州,海兴县,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '全天热水', '毛巾', '拖鞋', '热水壶', '保安', '接待儿童2到12岁', '接待婴幼儿2岁以下', '有窗户', '茶几', '洗浴用品', '牙具', '香皂', '灭火器']",,,0,,50,,100.0%,100.0%,100.0%,1,5.0
黄骅民宿三居室，接近黄骅市医院，重点中学，信誉楼，宽敞明亮装修靓丽欢迎您的光临,"
                2室1厅住宅公寓，合理舒适温馨的空间欢迎你入住～，步行范围内有各种便利设施，便利店、超市、菜市场、各类餐馆方便用餐，房源设施齐全，洗漱用品齐全，不要你大包小包，不想吃餐厅点外卖的时候可以自己做饭，材料齐全，可在沙发上恣意葛优瘫，有冰箱能让你享受冰西瓜和冰饮料爽歪歪，小区环境好，安静、安全，方便去周边景点游玩，近医院方便看病休憩照顾家人，如有其他问题欢迎随时向我咨询，我会为你提供更多的旅行建议，并将尽量满足你入住期间的需求
            ",100%,16 晚,普通公寓,3室1厅,整租,"双人床
榻榻米
榻榻米",3张,5人,1,90平米,提供,沧州-黄骅市-新华路-金都雅居,沧州,黄骅市,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '保安', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '接待外宾', '有窗户', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '洗涤用品', '燃气灶', '电饭煲', '微波炉']",,,0,,238,,100.0%,100.0%,100.0%,4,5.0
任丘悦城loft公寓,"
                欢迎入住~
            ",100%,22 晚,其它,1室1厅,整租,"双人床
双人床",2张,4人,2,110平米,提供,沧州-任丘市-裕华西路2号-悦城悦都汇,沧州,任丘市,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '电冰箱', '毛巾', '拖鞋', '热水壶', '电梯', '餐具炊具', '电吹风', '智能门锁', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '接待外宾', '被子', '有窗户', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '电磁炉', '投影设备']",,,0,,266,,100.0%,70.0%,80.0%,10,5.0
任丘悦都汇loft公寓,"
                欢迎入住~
            ",100%,22 晚,其它,1室2厅,整租,双人床,1张,2人,2,100平米,提供,沧州-任丘市-裕华西路2号-悦城悦都汇,沧州,任丘市,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '毛巾', '拖鞋', '热水壶', '电梯', '电吹风', '智能门锁', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '接待外宾', '被子', '有窗户', '落地窗', '茶几', '洗浴用品', '牙具', '香皂', '投影设备']",,,0,,239,,100.0%,70.0%,80.0%,10,5.0
任丘悦都汇Loft复式公寓民宿,"
                任丘悦都汇Loft复式公寓民宿
            ",100%,24 晚,其它,1室2厅,整租,双人床,1张,2人,2,100平米,提供,沧州-任丘市-会战北道86号-怡海家园,沧州,任丘市,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '毛巾', '拖鞋', '热水壶', '电梯', '电吹风', '智能门锁', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '接待外宾', '被子', '有窗户', '落地窗', '茶几', '洗浴用品', '牙具', '香皂', '投影设备']",,,0,,222,,100.0%,70.0%,80.0%,10,5.0
近医院近大学大客厅落地窗,"
                近医院近大学大客厅落地窗
            ",100%,22 晚,普通公寓,2室1厅,整租,"双人床
双人床",2张,4人,1,98平米,提供,沧州-运河区-浮阳北大道西-恒大城,沧州,运河区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '被子', '有窗户', '沙发', '洗浴用品', '牙具', '刀具菜板', '调料', '洗涤用品', '燃气灶', '灭火器']",,,0,,174,,100.0%,100.0%,100.0%,4,5.0
妞宝民宿轻奢温馨两居室近盛世嘉年华～四合菜市场,"
                欧式风格的装修，配备舒适的大床和床垫，相信您一定会舒舒服服的睡个好觉！除此之外卧室还有空调、免费百兆wifi、以及独立的卫生间哦（24小时热水是妥妥的）！如果您想做饭，厨房免费提供给您，厨具调料齐备，快来大展厨艺吧！
            ",100%,18 晚,普通公寓,2室1厅,整租,"双人床
榻榻米",2张,4人,1,92平米,提供,沧州-运河区-河西北街-贻成·御景狮城,沧州,运河区,"['无线WIFI', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '允许抽烟', '接待老人60岁以上', '接待外宾', '有窗户', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '燃气灶', '灭火器']",小区内绿树环抱、清新怡人，在这里您不用担心大都市的吵闹。物业管理安全有序，24小时保安巡视，行人出入需刷门禁卡，让您住的安全放心。小区周边设施齐全。,可乘坐505路公交车直通火车站、中心医院、人民公园等,0,,233,,100.0%,100.0%,100.0%,4,5.0
轻奢温馨两居室～近夜市～市妇幼医院～十一中,"
                轻奢温馨两居室～近夜市～市妇幼医院～十一中
            ",100%,22 晚,普通公寓,2室1厅,整租,"双人床
双人床",2张,4人,1,110平米,提供,沧州-运河区-浮阳北大道西-恒大城,沧州,运河区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '被子', '有窗户', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '洗涤用品', '燃气灶', '灭火器']",,,0,,186,,100.0%,100.0%,100.0%,4,5.0
近医院近大学落地窗观景,"
                大落地窗尽享广阔视野和温暖阳光，小区安静安全，环境好，有电梯/低层无电梯，不用自己搬行李，很轻松/有行李也不用发愁，房源有洗衣机，可以洗衣服，不想吃餐厅点外卖的时候可以自己做饭，材料齐全，房源设施齐全，洗漱用品齐全，不要你大包小包，提供电热水壶，健康度假零负担，有电视，各类直播随意看，
            ",100%,20 晚,酒店式公寓,1室0厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '被子', '泳池', '有窗户', '落地窗', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '洗涤用品', '电磁炉', '电饭煲', '灭火器']",,,0,,169,,100.0%,100.0%,80.0%,12,5.0
曹姐 主题民宿  （大床房1.8米,"
                照片 实景拍摄， 多个房间 可供选择，真实有效 干净整洁。落地阳台，24小时热水 Wi-Fi覆盖 可做饭 洗漱用品齐全 床品一客一换 可做饭哦 提供厨具和简单调料，位于运河区 老华北南 ，临近 沧州商城 颐和商城 天一手机卖场 楼下是小吃一条街，个个商场距离 都不超过300米，是走亲访友 出差旅游的 优选地段[愉快][愉快]
            ",100%,20 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '被子', '有窗户', '落地窗', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '电磁炉', '电饭煲']",,,0,,185,,100.0%,100.0%,80.0%,12,5.0
近商圈 近医院 大客厅/投影设备）24小时热水,"
                大落地窗尽享广阔视野和温暖阳光，24安全保障，尽享无忧入住，提供投影设施/超大电视可亲密私享影片娱乐，可在沙发上恣意葛优瘫，有电梯/低层无电梯，老人小孩轻松入住，养精蓄锐开启旅途，有洗衣机，解放双手，每天穿新衣，提供电热水壶，健康度假零负担，有电视，各类直播随意看，有冰箱，美食放心购，全天保鲜无休，如有其他问题欢迎随时向我咨询，我会为你提供更多的旅行建议，并将尽量满足你入住期间的需求，更多房源请查看房东主页供你选择，
            ",100%,20 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '接待外宾', '被子', '有窗户', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '电磁炉', '电饭煲', '投影设备', '灭火器']","近火车站 商场

楼下有两大影院，（近在200米内的 各大商场 ，沧州知名的市中心 华北商厦，胖胖熊儿童超大 淘气堡；沧州商城，颐和商城 吉利鞋城；潮衣库服装鞋子批发城（信誉楼）

周边； 近三四百米 清风古楼、彩虹桥  ，沧州大运河 ，南湖公园 ，周边银行 工行 建行 信用社....

近人民医院 中心医院  ，同仁堂大药房，一公里左右  ，公交两站地

沧州有 动物园里面有熊猫 很多品种的猴子 孔雀 鹿..公交可到达，名人植物园，狮城公园...",,0,,185,,100.0%,100.0%,80.0%,12,5.0
近华北商厦 清风鼓楼；大运河 近医院落地窗观景,"
                近华北商厦 清风鼓楼；大运河 近医院落地窗观景
            ",100%,20 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '被子', '有窗户', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '电磁炉', '电饭煲', '灭火器']",,,0,,180,,100.0%,100.0%,80.0%,12,5.0
颐和文园85平（独享 1室1厅1厨1卫）（近 华北三期 、14中学 迎宾小学,"
                颐和文园85平（独享 1室1厅1厨1卫）（近 华北三期 、14中学 迎宾小学
            ",100%,50 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,86平米,提供,沧州-运河区-解放西路与幸福街交叉路口往西南约210米-颐和文园,沧州,运河区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '接待老人60岁以上', '接待外宾', '被子', '有窗户', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '电磁炉', '电饭煲']",,,0,,156,,100.0%,100.0%,80.0%,12,5.0
温馨 曹姐民宿，WIFI覆盖 24小时热,"
                照片 实景拍摄，真实有效 干净整洁。落地阳台，全天 到第二天中午12点，24小时热水 Wi-Fi覆盖 可做饭 洗漱用品齐全 床品一客一换 可做饭哦 提供厨具和简单调料，位于运河区 老华北南 ，临近 沧州商城 颐和商城 天一手机卖场 楼下是小吃一条街，个个商场距离 都不超过300米，是走亲访友 出差旅游的 优选地段[愉快][愉快]
            ",100%,20 晚,酒店式公寓,1室0厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '被子', '泳池', '有窗户', '落地窗', '洗浴用品', '牙具', '刀具菜板', '洗涤用品', '电磁炉', '电饭煲']",,,0,,156,,100.0%,100.0%,80.0%,12,5.0
运河区/近 华北商厦 火车站 各大商场电影院（四大商超 南湖 人民公园、都 老近了,"
                运河区/近 华北商厦 火车站 各大商场电影院（四大商超 南湖 人民公园、都 老近了
            ",100%,20 晚,酒店式公寓,1室0厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '被子', '泳池', '有窗户', '落地窗', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '洗涤用品', '电磁炉', '电饭煲', '灭火器']",,,0,,173,,100.0%,100.0%,80.0%,12,5.0
落地窗— 投影仪大床房（近 5分钟内可到达、颐和商城 信誉楼 老华北 火车站），清风楼 中医院,"
                大落地窗尽享广阔视野和温暖阳光，有电梯/低层无电梯，免爬楼之苦，养足精力开启旅途，有洗衣机，解放双手，造型每天换，可做饭，在外也可以品尝家的味道，洗漱用品齐全，清爽卫生，旅行无忧，提供电热水壶，在外也要随时养生，有电视，热播综艺热播剧紧追不断档，有冰箱，美食放心购，全天保鲜无休，
            ",100%,20 晚,酒店式公寓,1室1厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '被子', '泳池', '有窗户', '落地窗', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '洗涤用品', '电磁炉', '电饭煲', '灭火器']",近火车站,,0,,153,,100.0%,100.0%,80.0%,12,5.0
百合世嘉 精装 紧邻县医院 两室位于南门东南排交通便利,"
                百合世嘉 精装 紧邻县医院 两室位于南门东南排交通便利
            ",100%,18 晚,小区住宅,2室2厅,整租,双人床,2张,4人,1,80平米,提供,沧州-新华区-黄河东路-百合世嘉,沧州,新华区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '燃气灶']",百合世嘉 精装 紧邻县医院 两室位于南门东南排交通便利,百合世嘉 精装 紧邻县医院 两室位于南门东南排交通便利,0,,218,,100.0%,100.0%,100.0%,2,5.0
运茂小区精装三室紧邻意明火车站，周边配套齐全欢迎入住,"
                运茂小区精装三室紧邻意明火车站，周边配套齐全欢迎入住
            ",100%,20 晚,小区住宅,3室2厅,整租,"双人床
单人床",3张,5人,1,96平米,提供,沧州-新华区-交通北大街-运茂小区,沧州,新华区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '对讲门禁', '餐具炊具', '电吹风', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '新风系统', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '燃气灶', '电磁炉', '电饭煲', '微波炉']",运茂小区精装三室紧邻意明火车站，周边配套齐全欢迎入住,运茂小区精装三室紧邻意明火车站，周边配套齐全欢迎入住,0,,218,,100.0%,100.0%,100.0%,2,5.0
现代简约温馨两居公寓,"
                近邻明珠商贸城，好停车出入方便，南北通透户型，24小时热水供应,wifi网络，全新电视、空调、冰箱、炉罩吸油烟机，一次性用品干净卫生设施齐全，平民的价格，高端的享受，是情侣小憩，朋友聚会，居家旅行的不二选择。
            ",100%,16 晚,小区住宅,2室1厅,整租,"双人床
榻榻米",2张,2人,1,90平米,提供,沧州-运河区-弘仁里-弘仁里,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '接待外宾', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '洗涤用品', '燃气灶', '灭火器', '花园', '观景露台']",小区门口有多家超市购物方便，还有一家串说烧烤店味道非常好。,,0,,158,,100.0%,100.0%,100.0%,4,5.0
